Designator,Mid X,Mid Y,Rotation,Layer
_353,165.063675,-61.92135,0.0,top
_352,446.73165,-170.74265,0.0,top
_351,38.862,-61.722,0.0,top
_350,194.981325,-162.814,0.0,top
_349,146.195,-269.367,0.0,top
_348,447.911,-429.006,180.0,top
_347,147.338025,-304.5637,180.0,top
_346,194.963,-282.829,0.0,top
_345,59.926,-409.702,180.0,top
_344,31.986,-432.943,180.0,top
_343,374.595675,-226.314,180.0,top
_342,335.080325,-55.118,0.0,top
_341,20.01165,-165.40865,0.0,top
_340,235.621325,-153.74235,0.0,top
_339,108.766325,-268.859,0.0,top
_338,447.911,-417.449,180.0,top
_337,93.272325,-268.986,0.0,top
_336,320.475325,-89.08165,0.0,top
_335,174.280325,-176.657,0.0,top
_334,271.834325,-62.53865,0.0,top
_333,334.826325,-90.043,0.0,top
_332,283.863325,-410.13765,180.0,top
_331,258.227325,-190.82635,0.0,top
_330,146.195,-257.81,0.0,top
_329,383.721325,-61.468,0.0,top
_328,244.710675,-85.3617,0.0,top
_327,113.955025,-341.57535,180.0,top
_326,407.942,-85.598,0.0,top
_325,132.02565,-152.654,0.0,top
_324,32.113,-409.829,180.0,top
_323,383.721325,-99.441,0.0,top
_322,320.475325,-99.24165,0.0,top
_321,321.527675,-341.376,180.0,top
_320,452.12,-218.694,0.0,top
_319,321.546,-249.174,180.0,top
_318,229.706675,-341.55765,180.0,top
_317,209.404675,-66.6927,0.0,top
_316,272.905,-212.471,180.0,top
_315,21.191,-426.212,180.0,top
_314,365.723675,-249.682,180.0,top
_313,314.161675,-318.516,180.0,top
_312,94.887025,-341.44835,180.0,top
_311,399.143,-434.34,180.0,top
_310,335.897,-406.32765,180.0,top
_309,384.501675,-249.174,180.0,top
_308,320.529975,-180.5763,0.0,top
_307,29.99,-85.09,0.0,top
_306,23.622,-208.534,270.0,top
_305,131.971,-88.97235,0.0,top
_304,209.586325,-146.50335,0.0,top
_303,216.952325,-176.98335,0.0,top
_302,209.277675,-89.9337,0.0,top
_301,83.112325,-273.431,0.0,top
_300,57.85765,-176.45765,0.0,top
_299,258.172675,-89.1717,0.0,top
_298,351.390975,-176.96565,0.0,top
_297,68.77965,-162.61465,0.0,top
_296,314.18,-226.314,180.0,top
_295,48.71365,-153.34365,0.0,top
_294,146.213325,-169.545,0.0,top
_293,83.239325,-261.747,0.0,top
_292,351.372975,-153.72465,0.0,top
_291,397.782,-90.043,0.0,top
_290,351.336325,-85.471,0.0,top
_289,99.64065,-176.657,0.0,top
_288,102.126,-85.16235,0.0,top
_287,113.937025,-318.33435,180.0,top
_286,217.678,-224.917,0.0,top
_285,147.338025,-324.7567,180.0,top
_284,428.988,-410.337,180.0,top
_283,258.227325,-173.04635,0.0,top
_282,422.384,-410.337,180.0,top
